Sol_EAR,Sag_EAR,Etiket
0.3476578666817733,0.35165272101287837,0
0.3500323079969629,0.3392935738227898,0
0.34853064144925355,0.32298033012160504,0
0.33980979290898833,0.3115905890344052,0
0.33804386959124677,0.31187467797436763,0
0.33228894568849665,0.32346887232733856,0
0.32767155033495143,0.32280535140356403,0
0.3263445579578576,0.3258791235195802,0
0.3234749844401982,0.32786463049358955,0
0.32338890641795504,0.3273726488396838,0
0.3214686203589811,0.32604300807043746,0
0.3189818788207476,0.32374804283545766,0
0.3147765892049227,0.3232099226205158,0
0.31325755236574593,0.32164245473036873,0
0.3198567726861821,0.3224661393120586,0
0.31768642336998526,0.3220873186218019,0
0.32188123757293635,0.3234415212895195,0
0.3203101499246459,0.3239824592606044,0
0.3183261654797747,0.31103191190857027,0
0.28320446089940265,0.2919228807034462,0
0.2748932444820592,0.28125208839513993,0
0.27028596908440944,0.2741124552144492,0
0.2618359501174541,0.2727883448560962,0
0.2616014498476482,0.27331654250316034,0
0.2625367841262682,0.2726482023228518,0
0.2611598117452026,0.2719660976385563,0
0.2567113881785337,0.27268660505043446,0
0.260450517591658,0.2708609652414471,0
0.2589457773195518,0.273424252390318,0
0.2601182468688998,0.27380365075047636,0
0.26125630718928916,0.2777027608803468,0
0.26169015313074795,0.2785048510220187,0
0.2571097277236109,0.2737413537853193,0
0.25517438230094674,0.2731055407040022,0
0.25698631058855637,0.2729204257174107,0
0.25930629088398965,0.27061472463412684,0
0.261154859425397,0.2747119132867968,0
0.2663946142541219,0.2714568100356951,0
0.26620133142563257,0.27414466050124797,0
0.2664707516688005,0.26906011416987474,0
0.26698727308742837,0.27024313673000044,0
0.26724820900748153,0.27172573064495403,0
0.2636087420763722,0.27622189723106827,0
0.2669530574530918,0.27275628206652575,0
0.25857850044362674,0.27333321295406965,0
0.2614375400156937,0.2679588459951337,0
0.2584855183692414,0.2674639738439388,0
0.26687247611486914,0.26835484011499944,0
0.2634105824214787,0.26869376289193825,0
0.26970445282240285,0.26920965396954705,0
0.26809763021675853,0.27081497587006326,0
0.2753046975968042,0.2709871131839304,0
0.27369203117648827,0.2718737129850817,0
0.2747013168072372,0.27474285631766476,0
0.27733849566656216,0.2747558615296963,0
0.28882121161095614,0.2802998254879909,0
0.2929033256740249,0.28353838902536094,0
0.2977689891044469,0.28536124914571726,0
0.29993820012155115,0.28917930746693365,0
0.3023218088702776,0.2896261219337308,0
0.3029682554441623,0.288919729392711,0
0.3018131930674595,0.2905515006287284,0
0.3056415139275367,0.29454944864386773,0
0.305034437048013,0.2929379886507153,0
0.3028532392587359,0.29442490962166634,0
0.30587893115985476,0.29315965968387625,0
0.3020353636452318,0.2932371686553753,0
0.30409875968523475,0.2956063884429777,0
0.306707888529488,0.29739105746343064,0
0.3070234678994893,0.2975006127604529,0
0.3061650650194801,0.2981029651912846,0
0.3095769430866522,0.2974888083589241,0
0.3090274246849651,0.2983355630127737,0
0.30616300055887136,0.29674661106605005,0
0.306917114478506,0.29482094407662135,0
0.30366338215869704,0.30392172308627613,0
0.3062035269140518,0.30555151337916164,0
0.3059985740052494,0.2980401274714031,0
0.3092941521742296,0.30167810554999314,0
0.31077041524549415,0.2953743166858379,0
0.31215731948209213,0.29836703094468975,0
0.31065936891283236,0.29946447126828596,0
0.31171784407729264,0.2999122272243624,0
0.29931810115717006,0.30266705826668194,0
0.2894115910596168,0.3055501399344651,0
0.29969941082925355,0.30562692364487254,0
0.300244326484011,0.3115675923429637,0
0.3067357392059121,0.31520295468364556,0
0.30947877029988896,0.3133929338694436,0
0.3148119399796895,0.31068380770645804,0
0.31309957105969033,0.3098496421987738,0
0.30866689070788406,0.314541170321524,0
0.29371965067243677,0.30430126987271844,0
0.28783105189765956,0.304708819981854,0
0.2831394960702462,0.30146328552288104,0
0.2825086894056259,0.29902454024523933,0
0.2843139738516551,0.308612726400918,0
0.2889556524344885,0.3121564887469972,0
0.287897881993477,0.3132782889854775,0
0.27729950591694313,0.3128367677996555,0
0.2613157987323561,0.2941463374909702,0
0.25951857242003373,0.285755935988744,0
0.2582503888308237,0.2826320540027484,0
0.2590583185720024,0.2803924281231787,0
0.2492873183752277,0.2774863091479504,0
0.24738515138850953,0.2745300314068171,0
0.24170204483782398,0.26758516490602374,0
0.2549337960639169,0.2685484376955067,0
0.25746593195884127,0.2642077834865985,0
0.25845010196409307,0.2619405729901033,0
0.25279721809905403,0.26082590368178915,0
0.24920061328788715,0.2594963969446254,0
0.25009815597247176,0.25565756908434073,0
0.25569868859168277,0.2521255740403875,0
0.2623297238695975,0.2595345531809352,0
0.267256250301109,0.2582626158379022,0
0.26994054041883714,0.2575158417696132,0
0.27434029524904074,0.25760443357343266,0
0.2746434609307746,0.25977357129849615,0
0.2740731923346512,0.26354166325164574,0
0.2739783246551818,0.2652284208838135,0
0.27555361487236385,0.26665210541048284,0
0.27966556695743855,0.2645509990541916,0
0.2793574357722334,0.26567589935252467,0
0.2773894483829334,0.26498124945752555,0
0.28169333904715166,0.27194354538743715,0
0.2849150270417518,0.2712358131311437,0
0.28400514017736983,0.2698951404389183,0
0.2820328065934307,0.2685922580416809,0
0.27818928306574636,0.2660791205500524,0
0.2799094109698258,0.26827887913369686,0
0.28345046522581063,0.2695574053384246,0
0.28695695562828843,0.27049292918291656,0
0.29165797454005327,0.2727595940300546,0
0.29426969739647874,0.27561723497659524,0
0.29201028152663644,0.27870011243517034,0
0.2956925934378979,0.2792772627639091,0
0.2983207532774792,0.28431097991252496,0
0.2984505043645087,0.28435415275986914,0
0.301766138822622,0.2870279856076208,0
0.3070601327587952,0.28440237026736925,0
0.314782676130501,0.2874289371605928,0
0.3163305215555152,0.2921936332260695,0
0.31507762844931675,0.30159682682674943,0
0.3126960947531767,0.3013076944808781,0
0.3086095801217918,0.30073087617533195,0
0.31159376017177237,0.2965894612884553,0
0.3003681990057666,0.2885863908625975,0
0.3071805679777588,0.28664283747569197,0
0.30675435338495055,0.28559803581096876,0
0.30909026777372306,0.28519351183080743,0
0.3096101160329565,0.286155369749939,0
0.30315027884900486,0.29193506251488976,0
0.30229833041302556,0.2995596289712338,0
0.2996773313734723,0.301764036323778,0
0.3034526151248836,0.3003589605154354,0
0.30267509095168804,0.306357902702849,0
0.3030223166579277,0.3062156966078758,0
0.29628281924505057,0.3068590096821538,0
0.2995145379347045,0.3059344940528209,0
0.29880253688625946,0.30594365309272686,0
0.29788749587718255,0.30893348147229927,0
0.30524228129957254,0.31158213210503577,0
0.3107461300723271,0.3170410996923985,0
0.3094042348032973,0.31248967642272946,0
0.30850634517417663,0.3160044443400949,0
0.3038332842797766,0.3104830228737949,0
0.29970528317615847,0.3107808306522942,0
0.2963784506510369,0.3130389057419642,0
0.29757848612518756,0.31304267108724804,0
0.2969150263040772,0.31465223279383364,0
0.29935769796999673,0.31395124653588874,0
0.3024528225138614,0.3126619498472687,0
0.3005979926999067,0.3120855509512724,0
0.28972598532748955,0.31265088098914834,0
0.28081780735522766,0.3082348390997779,0
0.2762754840856334,0.3041016505534292,0
0.27561821783153106,0.2949343122222642,0
0.25799371861175446,0.29365279355284396,0
0.2483482704501069,0.2878195372733484,0
0.23903960064796834,0.2825088211513152,0
0.2332674352372078,0.28002666722097685,0
0.22567639559766975,0.2692565446019755,0
0.22442225895192847,0.26353371297473943,0
0.2265943401261972,0.256724614230093,0
0.23044433275989643,0.26444269539370074,0
0.23617660234069696,0.26886574934061463,0
0.23847008079389687,0.27036008058116284,0
0.23905048317066277,0.27503061346854357,0
0.09510058054074996,0.18955779712859563,1
0.0895031953092138,0.21138014377012657,1
0.08529015395115645,0.2139935699399515,1
0.08649276180142086,0.21518466230248762,1
0.08093290362776161,0.20563547373013683,1
0.0882939278355152,0.20214559578257102,1
0.0836304489017941,0.19869683373423747,1
0.08087166090052922,0.19784121745457958,1
0.08297778692593387,0.20235282741162747,1
0.07901353269994944,0.20335322010546103,1
0.08149665189566715,0.20710577688584145,1
0.08451532383290727,0.21569094568823519,1
